"id","code","name"
gtin_10161902,"10161902","Follaje seco"
gtin_10161903,"10161903","Helechos secos"
gtin_10161905,"10161905","Ramas y tallos secos"
gtin_10161906,"10161906","Penachos de gramíneas secos"
gtin_10161907,"10161907","Flores secas prensadas"
gtin_10161908,"10161908","Pétalos secos"
gtin_10170000,"10170000","Fertilizantes y nutrientes para plantas y herbicidas"
gtin_10171500,"10171500","Abonos orgánicos y nutrientes para plantas"
gtin_10171501,"10171501","Estiércol o guano"
gtin_10171502,"10171502","Hormonas para plantas"
gtin_10171503,"10171503","Harina de pescado"
gtin_10171504,"10171504","Abono"
gtin_10171505,"10171505","Nutriente foliar"
gtin_10171506,"10171506","Humus"
gtin_10171600,"10171600","Abonos químicos y nutrientes para plantas"
gtin_10171601,"10171601","Fertilizante nitrogenado"
gtin_10171602,"10171602","Fertilizante de potasio"
gtin_10171603,"10171603","Fertilizante de fósforo"
gtin_10171604,"10171604","Fertilizante de sulfuro"
gtin_10171605,"10171605","Mezclas de nitrógeno – fósforo – potasio – npk"
gtin_10171606,"10171606","Fertilizarte de sílice puro"
gtin_10171607,"10171607","Fertilizante con magnesio"
gtin_10171608,"10171608","Fertilizante micro elemento"
gtin_10171609,"10171609","Fertilizante fosfato de sílice"
gtin_10171610,"10171610","Fertilizante potasio de sílice"
gtin_10171611,"10171611","Fertilizante de calcio"
gtin_10171700,"10171700","Herbicidas"
gtin_10171701,"10171701","Matamalezas"
gtin_10171702,"10171702","Fungicidas"
gtin_10171800,"10171800","Acondicionadores de suelos"
gtin_10171801,"10171801","Acondicionador orgánico de suelos"
gtin_10171802,"10171802","Acondicionador inorgánico de suelos"
gtin_10190000,"10190000","Productos para el control de plagas "
gtin_10191500,"10191500","Pesticidas o repelentes de plagas"
gtin_10191506,"10191506","Mata – roedores "
gtin_10191507,"10191507","Repelentes de aves"
gtin_10191508,"10191508","Protectores contra termitas"
gtin_10191509,"10191509","Insecticidas"
gtin_10191510,"10191510","Abamectina"
gtin_10191511,"10191511","Fipronil"
gtin_10191700,"10191700","Dispositivos para control de plagas"
gtin_10191701,"10191701","Trampas para control animal"
gtin_10191703,"10191703","Trampas para el control de insectos voladores"
gtin_10191704,"10191704","Matamoscas"
gtin_10191705,"10191705","Lazos"
gtin_10191706,"10191706","Cepos"
gtin_10191707,"10191707","Repelente ultrasónico de pestes"
gtin_10200000,"10200000","Rosales vivos"
gtin_10201500,"10201500","Rosales vivos azules o lavanda o púrpura"
gtin_10201501,"10201501","Rosal vivo allure o sterling 95"
gtin_10201502,"10201502","Rosal vivo amnesia"
gtin_10201503,"10201503","Rosal vivo augusta louise"
gtin_10201504,"10201504","Rosal vivo avant garde"
gtin_10201505,"10201505","Rosal vivo blue bird"
gtin_10201506,"10201506","Rosal vivo curiosa"
gtin_10201507,"10201507","Rosal vivo cool water"
gtin_10201508,"10201508","Rosal vivo delilah"
gtin_10201509,"10201509","Rosal vivo double party"
gtin_10201510,"10201510","Rosal vivo faith"
gtin_10201511,"10201511","Rosal vivo mami blue o mammy blue"
gtin_10201512,"10201512","Rosal vivo marítimo"
gtin_10201513,"10201513","Rosal vivo milano"
gtin_10201514,"10201514","Rosal vivo mistery"
gtin_10201515,"10201515","Rosal vivo ocean song o boyfriend"
gtin_10201516,"10201516","Rosal vivo cezanne púrpura"
gtin_10201517,"10201517","Rosal vivo purple fragrance"
gtin_10201518,"10201518","Rosal vivo sanaa"
gtin_10201519,"10201519","Rosal vivo silverstone"
gtin_10201520,"10201520","Rosal vivo soulmate"
gtin_10201521,"10201521","Rosal vivo stranger"
gtin_10201522,"10201522","Rosal vivo tinted blue"
gtin_10201523,"10201523","Rosal vivo two faces"
gtin_10201600,"10201600","Rosales vivos chocolate o marrón"
gtin_10201601,"10201601","Rosal vivo black lava"
gtin_10201602,"10201602","Rosal vivo cimarron"
gtin_10201603,"10201603","Rosal vivo coffee break"
gtin_10201604,"10201604","Rosal vivo estelle"
gtin_10201605,"10201605","Rosal vivo gypsy leonidas"
gtin_10201606,"10201606","Rosal vivo leonidas"
gtin_10201607,"10201607","Rosal vivo matilda"
gtin_10201608,"10201608","Rosal vivo sunny leonidas"
gtin_10201609,"10201609","Rosal vivo terra nostra"
gtin_10201610,"10201610","Rosal vivo terracotta"
gtin_10201700,"10201700","Rosales vivos crema"
gtin_10201701,"10201701","Rosal vivo advenire"
gtin_10201702,"10201702","Rosal vivo alex"
gtin_10201703,"10201703","Rosal vivo antique brass"
gtin_10201704,"10201704","Rosal vivo aubade"
gtin_10201705,"10201705","Rosal vivo beach"
gtin_10201706,"10201706","Rosal vivo belle pearl"
gtin_10201707,"10201707","Rosal vivo blush de los andes"
gtin_10201708,"10201708","Rosal vivo camel"
gtin_10201709,"10201709","Rosal vivo caramel antike o caramel antique"
gtin_10201710,"10201710","Rosal vivo champagne"
gtin_10201711,"10201711","Rosal vivo clear ocean"
gtin_10201712,"10201712","Rosal vivo combo"
gtin_10201713,"10201713","Rosal vivo creme de la creme"
gtin_10201714,"10201714","Rosal vivo emanuella"
gtin_10201715,"10201715","Rosal vivo evolution"
gtin_10201716,"10201716","Rosal vivo fedora"
gtin_10201717,"10201717","Rosal vivo fenice"
gtin_10201718,"10201718","Rosal vivo french vanilla"
gtin_10201719,"10201719","Rosal vivo hollywood"
gtin_10201720,"10201720","Rosal vivo ilios"
gtin_10201721,"10201721","Rosal vivo jelena"
gtin_10201722,"10201722","Rosal vivo kameleon"
gtin_10201723,"10201723","Rosal vivo kentucky"
gtin_10201724,"10201724","Rosal vivo kings pride"
gtin_10201725,"10201725","Rosal vivo latin fusion"
gtin_10201726,"10201726","Rosal vivo lemon dream"
gtin_10201727,"10201727","Rosal vivo magic moka"
gtin_10201728,"10201728","Rosal vivo mamamia"
gtin_10201729,"10201729","Rosal vivo message"
gtin_10201730,"10201730","Rosal vivo muneca o munieca"
gtin_10201731,"10201731","Rosal vivo parfum de rosas"
gtin_10201732,"10201732","Rosal vivo porcelina"
gtin_10201733,"10201733","Rosal vivo privilege"
gtin_10201734,"10201734","Rosal vivo quicksand"
gtin_10201735,"10201735","Rosal vivo rollercoaster"
gtin_10201736,"10201736","Rosal vivo romantic curiosa"
gtin_10201737,"10201737","Rosal vivo safari"
gtin_10201738,"10201738","Rosal vivo sahara"
gtin_10201739,"10201739","Rosal vivo sandy femma"
gtin_10201740,"10201740","Rosal vivo talea"
gtin_10201741,"10201741","Rosal vivo timeless"
gtin_10201742,"10201742","Rosal vivo transition"
gtin_10201743,"10201743","Rosal vivo trump"
gtin_10201744,"10201744","Rosal vivo twin"
gtin_10201745,"10201745","Rosal vivo vendela"
gtin_10201746,"10201746","Rosal vivo virginia"
gtin_10201800,"10201800","Rosales vivos verdes o lima"
gtin_10201801,"10201801","Rosal vivo amandine"
gtin_10201802,"10201802","Rosal vivo caipirinha"
gtin_10201803,"10201803","Rosal vivo green fashion"
gtin_10201804,"10201804","Rosal vivo green tea"
gtin_10201805,"10201805","Rosal vivo jade"
gtin_10201806,"10201806","Rosal vivo limbo"
gtin_10201807,"10201807","Rosal vivo limena o limenia"
gtin_10201808,"10201808","Rosal vivo limona"
gtin_10201809,"10201809","Rosal vivo old dutch"
gtin_10201810,"10201810","Rosal vivo super green"
gtin_10201811,"10201811","Rosal vivo sweet green"
gtin_10201812,"10201812","Rosal vivo viva"
gtin_10201813,"10201813","Rosal vivo zazu"
gtin_10201900,"10201900","Rosales vivos rosado claro"
gtin_10201901,"10201901","Rosal vivo anna"
gtin_10201902,"10201902","Rosal vivo bella vita"
gtin_10201903,"10201903","Rosal vivo bridal dream"
gtin_10201904,"10201904","Rosal vivo candy bianca"
gtin_10201905,"10201905","Rosal vivo caress"
gtin_10201906,"10201906","Rosal vivo carolina "
gtin_10201907,"10201907","Rosal vivo climax "
gtin_10201908,"10201908","Rosal vivo danny "
gtin_10201909,"10201909","Rosal vivo dolce vita "
gtin_10201910,"10201910","Rosal vivo elite"
gtin_10201911,"10201911","Rosal vivo emma"
gtin_10201912,"10201912","Rosal vivo engagement"
gtin_10201913,"10201913","Rosal vivo esther"
gtin_10201914,"10201914","Rosal vivo excalibur"
gtin_10201915,"10201915","Rosal vivo exciting"
gtin_10201916,"10201916","Rosal vivo first lady"
gtin_10201917,"10201917","Rosal vivo geraldine"
gtin_10201918,"10201918","Rosal vivo gotcha"
gtin_10201919,"10201919","Rosal vivo harmonie"
gtin_10201920,"10201920","Rosal vivo heaven"
gtin_10201921,"10201921","Rosal vivo high and elegant"
gtin_10201922,"10201922","Rosal vivo katherine"
gtin_10201923,"10201923","Rosal vivo king kong"
gtin_10201924,"10201924","Rosal vivo livia"
gtin_10201925,"10201925","Rosal vivo lorena"
gtin_10201926,"10201926","Rosal vivo lovely"
gtin_10201927,"10201927","Rosal vivo maaike"
gtin_10201928,"10201928","Rosal vivo marilyn"
gtin_10201929,"10201929","Rosal vivo marlise"
gtin_10201930,"10201930","Rosal vivo miranda o ausimmon"
gtin_10201931,"10201931","Rosal vivo mona lisa"
gtin_10201932,"10201932","Rosal vivo nirvana"
gtin_10201933,"10201933","Rosal vivo o hara"
gtin_10201934,"10201934","Rosal vivo ole"
gtin_10201935,"10201935","Rosal vivo olga"
gtin_10201936,"10201936","Rosal vivo pacífica"
gtin_10201937,"10201937","Rosal vivo party mix"
gtin_10201938,"10201938","Rosal vivo peckoubo o pekcoubo"
gtin_10201939,"10201939","Rosal vivo phoebe o ausnotice"
gtin_10201940,"10201940","Rosal vivo pink farfalla"
gtin_10201941,"10201941","Rosal vivo pink finess"
gtin_10201942,"10201942","Rosal vivo pink magic"
gtin_10201943,"10201943","Rosal vivo pink osiana"
gtin_10201944,"10201944","Rosal vivo pretty woman"
gtin_10201945,"10201945","Rosal vivo romance"
gtin_10201946,"10201946","Rosal vivo romantic antike o antique"
gtin_10201947,"10201947","Rosal vivo rosalind o astew"
gtin_10201948,"10201948","Rosal vivo rosita vendela"
gtin_10201949,"10201949","Rosal vivo secret garden"
gtin_10201950,"10201950","Rosal vivo solaire"
gtin_10201951,"10201951","Rosal vivo sophie"
gtin_10201952,"10201952","Rosal vivo sweet akito"
gtin_10201953,"10201953","Rosal vivo sweet avalanche"
gtin_10201954,"10201954","Rosal vivo sweet elegance"
gtin_10201955,"10201955","Rosal vivo sweet pink"
gtin_10201956,"10201956","Rosal vivo titanic"
gtin_10201957,"10201957","Rosal vivo toscanini"
gtin_10201958,"10201958","Rosal vivo vania"
gtin_10201959,"10201959","Rosal vivo vanity"
gtin_10201960,"10201960","Rosal vivo vision"
gtin_10201961,"10201961","Rosal vivo vivaldi"
gtin_10201962,"10201962","Rosal vivo whisper"
gtin_10202000,"10202000","Rosales vivos multicolor rosados"
gtin_10202001,"10202001","Rosal vivo attracta"
gtin_10202002,"10202002","Rosal vivo boheme"
gtin_10202003,"10202003","Rosal vivo carousel"
gtin_10202004,"10202004","Rosal vivo cezanne"
gtin_10202005,"10202005","Rosal vivo crazy one"
gtin_10202006,"10202006","Rosal vivo dance valley"
gtin_10202007,"10202007","Rosal vivo duett"
gtin_10202008,"10202008","Rosal vivo esperance"
gtin_10202009,"10202009","Rosal vivo fiesta"
gtin_10202010,"10202010","Rosal vivo halloween"
gtin_10202011,"10202011","Rosal vivo highlander"
gtin_10202012,"10202012","Rosal vivo hot ambiance"
gtin_10202013,"10202013","Rosal vivo la belle"
gtin_10202014,"10202014","Rosal vivo laguna"
gtin_10202015,"10202015","Rosal vivo latin ambiance"
gtin_10202016,"10202016","Rosal vivo latin breeze"
gtin_10202017,"10202017","Rosal vivo long arifa"
gtin_10202018,"10202018","Rosal vivo murano"
gtin_10202019,"10202019","Rosal vivo n-joy rose"
gtin_10202020,"10202020","Rosal vivo panama"
gtin_10202021,"10202021","Rosal vivo peppermint"
gtin_10202022,"10202022","Rosal vivo pijama party"
gtin_10202023,"10202023","Rosal vivo portofino"
gtin_10202024,"10202024","Rosal vivo priceless"
gtin_10202025,"10202025","Rosal vivo queen amazon"
gtin_10202026,"10202026","Rosal vivo ranuncula"
gtin_10202027,"10202027","Rosal vivo rossini"
gtin_10202028,"10202028","Rosal vivo sabina o sabrina"
gtin_10202029,"10202029","Rosal vivo scandal"
gtin_10202030,"10202030","Rosal vivo silvery pink"
gtin_10202031,"10202031","Rosal vivo something else"
gtin_10202032,"10202032","Rosal vivo soutine"
gtin_10202033,"10202033","Rosal vivo sovereign"
gtin_10202034,"10202034","Rosal vivo super disco"
gtin_10202035,"10202035","Rosal vivo ts 1968"
gtin_10202036,"10202036","Rosal vivo variance"
gtin_10202037,"10202037","Rosal vivo verdi"
gtin_10202100,"10202100","Rosales vivos anaranjados"
gtin_10202101,"10202101","Rosal vivo alhambra"
gtin_10202102,"10202102","Rosal vivo aloha"
gtin_10202103,"10202103","Rosal vivo amber"
gtin_10202104,"10202104","Rosal vivo apache"
gtin_10202105,"10202105","Rosal vivo arabia"
gtin_10202106,"10202106","Rosal vivo bengala"
gtin_10202107,"10202107","Rosal vivo bibi"
gtin_10202108,"10202108","Rosal vivo caramba"
gtin_10202109,"10202109","Rosal vivo caramella"
gtin_10202110,"10202110","Rosal vivo carla"
gtin_10202111,"10202111","Rosal vivo cartagena"
gtin_10202112,"10202112","Rosal vivo chanson"
gtin_10202113,"10202113","Rosal vivo charmer"
gtin_10202114,"10202114","Rosal vivo cherry brandy"
gtin_10202115,"10202115","Rosal vivo chilis"
gtin_10202116,"10202116","Rosal vivo cinnamon"
gtin_10202117,"10202117","Rosal vivo colandro"
gtin_10202118,"10202118","Rosal vivo coral sea"
gtin_10202119,"10202119","Rosal vivo corvette o red corvette"
gtin_10202120,"10202120","Rosal vivo dark milva"
gtin_10202121,"10202121","Rosal vivo donna"
gtin_10202122,"10202122","Rosal vivo dreamer"
gtin_10202123,"10202123","Rosal vivo el dorado"
gtin_10202124,"10202124","Rosal vivo el toro"
gtin_10202125,"10202125","Rosal vivo elena"
gtin_10202126,"10202126","Rosal vivo ensueño"
